"Date,Description,Type,Category,Amount"
"2025-01-03,Salary January,Income,Salary,210000"
"2025-01-05,Return on Investment January,Income,Investment,50000"
"2025-01-10,Rent January,Expense,Rent,50000"
"2025-01-12,Food Staples January,Expense,Food,34500"
"2025-01-15,Subscriptions January,Expense,Subscriptions,13500"
"2025-01-18,Electricity January,Expense,Utilities,7000"
"2025-01-20,Family Support January,Expense,Family,20000"
"2025-01-22,Weekly Food Extras January,Expense,Food Extras,16800"
"2025-01-25,Transport January,Expense,Transport,8000"
"2025-01-27,Miscellaneous January,Expense,Miscellaneous,60000"
"2025-01-28,Hair Cut January,Expense,Personal,1000"
"2025-02-07,Salary February,Income,Salary,210000"
"2025-02-05,Return on Investment February,Income,Investment,50000"
"2025-02-10,Rent February,Expense,Rent,50000"
"2025-02-12,Food Staples February,Expense,Food,34500"
"2025-02-14,Valentine Gift,Expense,Gifts,22000"
"2025-02-15,Subscriptions February,Expense,Subscriptions,13500"
"2025-02-18,Electricity February,Expense,Utilities,7000"
"2025-02-20,Family Support February,Expense,Family,20000"
"2025-02-22,Weekly Food Extras February,Expense,Food Extras,16800"
"2025-02-25,Transport February,Expense,Transport,8000"
"2025-02-26,Cooking Gas February,Expense,Utilities,12000"
"2025-02-27,Miscellaneous February,Expense,Miscellaneous,60000"
"2025-02-18,Crypto Asset Sale,Income,One-Time,500000"
"2025-03-07,Salary March,Income,Salary,210000"
"2025-03-05,Return on Investment March,Income,Investment,50000"
"2025-03-10,Rent March,Expense,Rent,50000"
"2025-03-12,Food Staples March,Expense,Food,34500"
"2025-03-15,Subscriptions March,Expense,Subscriptions,13500"
"2025-03-18,Electricity March,Expense,Utilities,7000"
"2025-03-20,Family Support March,Expense,Family,20000"
"2025-03-22,Weekly Food Extras March,Expense,Food Extras,16800"
"2025-03-25,Transport March,Expense,Transport,8000"
"2025-03-26,Cooking Oil March,Expense,Food,12000"
"2025-03-27,Miscellaneous March,Expense,Miscellaneous,60000"
"2025-04-04,Salary April,Income,Salary,210000"
"2025-04-05,Return on Investment April,Income,Investment,50000"
"2025-04-10,Rent April,Expense,Rent,50000"
"2025-04-12,Food Staples April,Expense,Food,34500"
"2025-04-15,Subscriptions April,Expense,Subscriptions,13500"
"2025-04-18,Electricity April,Expense,Utilities,7000"
"2025-04-20,Family Support April,Expense,Family,20000"
"2025-04-22,Weekly Food Extras April,Expense,Food Extras,16800"
"2025-04-25,Transport April,Expense,Transport,8000"
"2025-04-27,Miscellaneous April,Expense,Miscellaneous,60000"
"2025-05-02,Salary May,Income,Salary,210000"
"2025-05-05,Return on Investment May,Income,Investment,50000"
"2025-05-10,Rent May,Expense,Rent,50000"
"2025-05-12,Food Staples May,Expense,Food,34500"
"2025-05-15,Subscriptions May,Expense,Subscriptions,13500"
"2025-05-18,Electricity May,Expense,Utilities,7000"
"2025-05-20,Family Support May,Expense,Family,20000"
"2025-05-22,Weekly Food Extras May,Expense,Food Extras,16800"
"2025-05-25,Transport May,Expense,Transport,8000"
"2025-05-26,Cooking Gas May,Expense,Utilities,12000"
"2025-05-27,Miscellaneous May,Expense,Miscellaneous,60000"
"2025-06-06,Salary June,Income,Salary,210000"
"2025-06-05,Return on Investment June,Income,Investment,50000"
"2025-06-10,Rent June,Expense,Rent,50000"
"2025-06-12,Food Staples June,Expense,Food,34500"
"2025-06-15,Subscriptions June,Expense,Subscriptions,13500"
"2025-06-18,Electricity June,Expense,Utilities,7000"
"2025-06-20,Family Support June,Expense,Family,20000"
"2025-06-22,Weekly Food Extras June,Expense,Food Extras,16800"
"2025-06-25,Transport June,Expense,Transport,8000"
"2025-06-26,Cooking Oil June,Expense,Food,12000"
